source_name,status,mapped_to,notes
A-Foroon,exact_match,A-Foroon,
Aaeton,exact_match,Aaeton,
Aargau,exact_match,Aargau,
Aargonar,exact_match,Aargonar,
Abafar,exact_match,Abafar,
Abbaji,exact_match,Abbaji,
Abhean,exact_match,Abhean,
Abo Dreth,exact_match,Abo Dreth,
Abraxas,exact_match,Abraxas,
Abregado-rae,exact_match,Abregado-rae,
Abridon,exact_match,Abridon,
Absit,exact_match,Absit,
Adari,exact_match,Adari,
Adarlon,exact_match,Adarlon,
Adin,exact_match,Adin,
Adoris,exact_match,Adoris,
Aduba,exact_match,Aduba,
Adumar,exact_match,Adumar,
Aeneid,exact_match,Aeneid,
Aeten,exact_match,Aeten,
Af'El,exact_match,Af'El,
Affa,exact_match,Affa,
Affavan,exact_match,Affavan,
Agamar,exact_match,Agamar,
Agon,exact_match,Agon,
Aguarl,exact_match,Aguarl,
Ahakista,exact_match,Ahakista,
Ahch-To,exact_match,Ahch-To,
Aikhibba,exact_match,Aikhibba,
Ailon,exact_match,Ailon,
Ajan Kloss,manual_required,,no exact or unique normalized match
Akrit'tar,exact_match,Akrit'tar,
Akuria,exact_match,Akuria,
Alakatha,exact_match,Alakatha,
Alashan,exact_match,Alashan,
Alassa Major,exact_match,Alassa Major,
Alderaan,exact_match,Alderaan,
Aldraig,exact_match,Aldraig,
Alee,exact_match,Alee,
Aleen,exact_match,Aleen,
Algara,exact_match,Algara,
Algarian,exact_match,Algarian,
Algnadesh,exact_match,Algnadesh,
Algor,exact_match,Algor,
Alland,exact_match,Alland,
Allanteen,exact_match,Allanteen,
Allyuen,exact_match,Allyuen,
Almania,exact_match,Almania,
Alpheridies,exact_match,Alpheridies,
Alsakan,exact_match,Alsakan,
Altier,exact_match,Altier,
Altor,exact_match,Altor,
Altratonne,exact_match,Altratonne,
Altyr V,manual_required,,no exact or unique normalized match
Alui,exact_match,Alui,
Alzoc,exact_match,Alzoc,
Amarin,exact_match,Amarin,
Ambria,exact_match,Ambria,
Ammuud,exact_match,Ammuud,
Anantapar,exact_match,Anantapar,
Anaxes,exact_match,Anaxes,
Andalasa,exact_match,Andalasa,
Andalia,exact_match,Andalia,
Andara,exact_match,Andara,
Andelm IV,exact_match,Andelm IV,
Ando,exact_match,Ando,
Andooweel,exact_match,Andooweel,
Andosha,exact_match,Andosha,
Anemcoro,exact_match,Anemcoro,
Angor,exact_match,Angor,
Angratha,exact_match,Angratha,
Ank Kit'aar,exact_match,Ank Kit'aar,
Ankus,exact_match,Ankus,
Annaj,exact_match,Annaj,
Anoat,exact_match,Anoat,
Anobis,exact_match,Anobis,
Anorelga,exact_match,Anorelga,
Anoth,exact_match,Anoth,
Ansion,exact_match,Ansion,
Anstares,exact_match,Anstares,
Antar,exact_match,Antar,
Anteevy,exact_match,Anteevy,
Antemeridias,exact_match,Antemeridias,
Antipose,exact_match,Antipose,
Antiquity,exact_match,Antiquity,
Anturus,exact_match,Anturus,
Anx Minor,exact_match,Anx Minor,
Anzat,exact_match,Anzat,
Apatros,exact_match,Apatros,
Aphran,exact_match,Aphran,
Aquaris,exact_match,Aquaris,
Aquella,exact_match,Aquella,
Aquilae,exact_match,Aquilae,
Arabanth,exact_match,Arabanth,
Aradia,exact_match,Aradia,
Arami,exact_match,Arami,
Arat Fraca,exact_match,Arat Fraca,
Arbra,exact_match,Arbra,
Arcan,exact_match,Arcan,
Archais,exact_match,Archais,
Arda,exact_match,Arda,
Argai,exact_match,Argai,
Argai Minor,exact_match,Argai Minor,
Argazda,exact_match,Argazda,
Argovia,exact_match,Argovia,
Argul,manual_required,,no exact or unique normalized match
Argus,exact_match,Argus,
Aridus,exact_match,Aridus,
Aris,exact_match,Aris,
Arkam,exact_match,Arkam,
Arkania,exact_match,Arkania,
Arkanis,exact_match,Arkanis,
Arkuda,exact_match,Arkuda,
Arleen,exact_match,Arleen,
Arporatal-Lanin,exact_match,Arporatal-Lanin,
Arrgaw,exact_match,Arrgaw,
Artesia,exact_match,Artesia,
Aruza,exact_match,Aruza,
Asation,exact_match,Asation,
Ashas Ree,exact_match,Ashas Ree,
Askaj,exact_match,Askaj,
Asmeru,exact_match,Asmeru,
Asmeru Anomaly,exact_match,Asmeru Anomaly,
Asrat,exact_match,Asrat,
Ast Kikorie,exact_match,Ast Kikorie,
Atapap I,exact_match,Atapap I,
Atchorb,exact_match,Atchorb,
Athiss,exact_match,Athiss,
Atollon,exact_match,Atollon,
Ator,exact_match,Ator,
Atorra,exact_match,Atorra,
Atravis,exact_match,Atravis,
Atron,exact_match,Atron,
Attahox,exact_match,Attahox,
Atzerri,exact_match,Atzerri,
Austan,exact_match,Austan,
Avenelle,exact_match,Avenelle,
Averam,exact_match,Averam,
Avidich,exact_match,Avidich,
Axxila,exact_match,Axxila,
Aylayl,exact_match,Aylayl,
Azbrian,exact_match,Azbrian,
Aztubek,exact_match,Aztubek,
Azure,exact_match,Azure,
Azzameen Station,exact_match,Azzameen Station,
B'trilla,exact_match,B'trilla,
B-Foroon,exact_match,B-Foroon,
Babbadod,exact_match,Babbadod,
Bacrana,exact_match,Bacrana,
Bahalian,exact_match,Bahalian,
Bajic,exact_match,Bajic,
Bakura,exact_match,Bakura,
Balamak,exact_match,Balamak,
Baldavia,exact_match,Baldavia,
Balis-Baurgh,exact_match,Balis-Baurgh,
Balmorra,exact_match,Balmorra,
Balnab,exact_match,Balnab,
Balosar,exact_match,Balosar,
Baltizaar,exact_match,Baltizaar,
Ban-Satir,exact_match,Ban-Satir,
Bandomeer,exact_match,Bandomeer,
Bannistar Station,exact_match,Bannistar Station,
Barab,exact_match,Barab,
Baraboo,exact_match,Baraboo,
Baradas,exact_match,Baradas,
Barcaria,exact_match,Barcaria,
Bardotta,exact_match,Bardotta,
Barenth,exact_match,Barenth,
Barison,exact_match,Barison,
Barkhesh,exact_match,Barkhesh,
Barlok,exact_match,Barlok,
Baroli,exact_match,Baroli,
Baros,exact_match,Baros,
Barseg,exact_match,Barseg,
Basilisk,exact_match,Basilisk,
Bassadro,exact_match,Bassadro,
Bastion,exact_match,Bastion,
Bastooine,exact_match,Bastooine,
Bator Bai,exact_match,Bator Bai,
Batorine,exact_match,Batorine,
Batuu,manual_required,,no exact or unique normalized match
